case,covariance_min_eigenvalue,dt_cov,dt_pde,final_adjoint_frobenius_norm,k,logarithmic_negativity,mode_x,mode_y,nsteps,nu_physical_min,nu_pt,selection_symplectic_error,mode_class,k_over_kdom,angle_degrees,observed_refinement_ratio_nu_pt,richardson_nu_pt,absolute_nu_pt_error_to_richardson,observed_refinement_ratio_logarithmic_negativity,richardson_logarithmic_negativity,absolute_logarithmic_negativity_error_to_richardson
spot,0.2661215220814201,0.1,0.05,188.77293600892915,0.5890486225480862,0.9096679122188008,0,12,500,100.69596423149784,0.2661538033647335,8.881784197001252e-16,dominant_shell,1.0,90.0,3.9907060799776968,0.2538010180847183,0.0123527852800152,3.9679793786017536,0.9782285435166596,0.0685606312978587
spot,0.2568797081559009,0.05,0.05,188.77028425443413,0.5890486225480862,0.9606538541936728,0,12,1000,98.92850146354832,0.2569119933425042,8.881784197001252e-16,dominant_shell,1.0,90.0,3.9907060799776968,0.2538010180847183,0.0031109752577859,3.9679793786017536,0.9782285435166596,0.0175746893229868
spot,0.2545478302279464,0.025,0.05,188.76962879803835,0.5890486225480862,0.9738083328310004,0,12,2000,98.477567100969,0.2545801195692059,8.881784197001252e-16,dominant_shell,1.0,90.0,3.9907060799776968,0.2538010180847183,0.0007791014844876,3.9679793786017536,0.9782285435166596,0.0044202106856591
spot,0.2539635028635831,0.0125,0.05,188.76946451417572,0.5890486225480862,0.9771234908452447,0,12,4000,98.36424906679926,0.2539957934558401,8.881784197001252e-16,dominant_shell,1.0,90.0,3.9907060799776968,0.2538010180847183,0.0001947753711218,3.9679793786017536,0.9782285435166596,0.0011050526714148
spot,0.2917224709530011,0.1,0.05,188.77293600892915,0.9817477042468103,0.7771003590252766,20,0,500,12.041227894800889,0.2917692282379395,8.881784197001252e-16,high_k_control,1.6666666666666667,0.0,3.97321246510946,0.2561079505081153,0.0356612777298241,3.908679547108296,0.965161776337689,0.1880614173124123
spot,0.2651621595581439,0.05,0.05,188.77028425443413,0.9817477042468103,0.9147852972738104,20,0,1000,11.479883492667405,0.2652114013223445,8.881784197001252e-16,high_k_control,1.6666666666666667,0.0,3.97321246510946,0.2561079505081153,0.0091034508142291,3.908679547108296,0.965161776337689,0.0503764790638785
spot,0.2583454086478903,0.025,0.05,188.76962879803835,0.9817477042468103,0.9523482559813292,20,0,2000,11.331329504823763,0.2583953018059283,8.881784197001252e-16,high_k_control,1.6666666666666667,0.0,3.97321246510946,0.2561079505081153,0.0022873512978129,3.908679547108296,0.965161776337689,0.0128135203563596
spot,0.2566297303650604,0.0125,0.05,188.76946451417572,0.9817477042468103,0.961958396248599,20,0,4000,11.293632581823546,0.2566797883325686,8.881784197001252e-16,high_k_control,1.6666666666666667,0.0,3.97321246510946,0.2561079505081153,0.0005718378244532,3.908679547108296,0.965161776337689,0.0032033800890899
spot,0.2770898136332112,0.1,0.05,188.77293600892915,0.196349540849362,0.849277219277407,4,0,500,9.888720808740986,0.2775313745858845,8.881784197001252e-16,low_k_control,0.3333333333333333,0.0,3.996940473455795,0.2732058649271462,0.0043255096587383,3.989528205451828,0.8719394630132948,0.0226622437358878
spot,0.2738498657000891,0.05,0.05,188.77028425443413,0.196349540849362,0.8662268318572101,4,0,1000,9.830016271340885,0.2742898549967801,8.881784197001252e-16,low_k_control,0.3333333333333333,0.0,3.996940473455795,0.2732058649271462,0.0010839900696338,3.989528205451828,0.8719394630132948,0.0057126311560847
spot,0.2730374003421428,0.025,0.05,188.76962879803835,0.196349540849362,0.8705084955748322,4,0,2000,9.815245403405452,0.273477017994556,8.881784197001252e-16,low_k_control,0.3333333333333333,0.0,3.996940473455795,0.2732058649271462,0.0002711530674098,3.989528205451828,0.8719394630132948,0.0014309674384626
spot,0.2728341272671612,0.0125,0.05,188.76946451417572,0.196349540849362,0.8715817211536792,4,0,4000,9.811546455065312,0.2732736531939986,8.881784197001252e-16,low_k_control,0.3333333333333333,0.0,3.996940473455795,0.2732058649271462,6.77882668524421e-05,3.989528205451828,0.8719394630132948,0.0003577418596156
