L,mode_index,k,k_over_pi,nu_physical,nu_pt,logarithmic_negativity,symplectic_transform_error,spectral_abscissa,relative_lyapunov_residual,min_full_symplectic_eigenvalue,cp_margin
96,23,1.505346479845109,0.47916666666666663,1.0814331105396404,0.27138956985136886,0.881562819277457,2.4400778763573452e-15,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,24,1.5707963267948966,0.5,0.9417476765590491,0.2736623100579306,0.869531340625589,4.198643040468666e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,25,1.636246173744684,0.5208333333333334,1.0022127224779247,0.27253253314851966,0.8754996352344907,1.131425730914658e-15,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,26,1.7016960206944713,0.5416666666666667,0.9287092912670833,0.2726503735339102,0.8748759629212793,6.631063783943504e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,27,1.7671458676442586,0.5625,0.9077009272893097,0.27317503569870977,0.8721024469815005,1.304512053934559e-15,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,28,1.832595714594046,0.5833333333333333,0.8949702622280309,0.2737186497257104,0.8692343593070192,4.440892098500626e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,29,1.8980455615438334,0.6041666666666667,0.8852132742554022,0.27423264148668985,0.8665277917927007,8.005689719171709e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,30,1.9634954084936205,0.6249999999999999,0.8771173901012705,0.2747083975727593,0.8640270819930713,9.298117831235686e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,31,2.028945255443408,0.6458333333333333,0.8701837750395515,0.2751452924162471,0.861734449723032,8.98553095862678e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,32,2.0943951023931953,0.6666666666666666,0.8632628324707252,0.27554476678140966,0.8596413674999339,4.899079139449057e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
