state,lambda,L,mode_index,k,k_over_pi,ell,kappa_k,g_k,R_k,eta_k,nu_physical,nu_pt,logarithmic_negativity
homogeneous_scalar_transport_same_lambda,-0.2,96,19,1.2435470920459597,0.3958333333333333,1.3571210693936766,12.129689565998818,2.0,12.719503741422132,0.3144776778494639,0.526723380072486,0.38037922471077584,0.39448964265636205
homogeneous_scalar_transport_same_lambda,-0.2,96,20,1.3089969389957472,0.4166666666666667,1.4823619097949585,13.064499925119236,2.0,13.613873980391897,0.29381791000572005,0.5230883835208752,0.3864531447070395,0.37163458887841017
homogeneous_scalar_transport_same_lambda,-0.2,96,21,1.3744467859455345,0.4375,1.6098193559677434,14.015855254958852,2.0,14.529301600163329,0.2753057311409266,0.5200983012217695,0.3920628503352565,0.3508431482030362
homogeneous_scalar_transport_same_lambda,-0.2,96,22,1.4398966328953218,0.4583333333333333,1.7389476155598966,14.979681705940571,2.0,15.461153594471586,0.2587129075174748,0.5176228533312962,0.397231169247431,0.3319492646836478
homogeneous_scalar_transport_same_lambda,-0.2,96,23,1.505346479845109,0.47916666666666663,1.8691937415397135,15.951852025231958,2.0,16.404816045766804,0.24383083533766195,0.515560769269998,0.40198392401508953,0.3147902880290767
homogeneous_scalar_transport_same_lambda,-0.2,96,24,1.5707963267948966,0.5,1.9999999999999998,16.928203230275507,2.0,17.355704280324122,0.2304717766212884,0.5138328899661276,0.40634820684220274,0.29921156702364465
homogeneous_scalar_transport_same_lambda,-0.2,96,25,1.636246173744684,0.5208333333333334,2.1308062584602863,17.904554435319056,2.0,18.309272950826156,0.21846853289821708,0.5123769815703911,0.41035117978033725,0.28506899376302985
homogeneous_scalar_transport_same_lambda,-0.2,96,26,1.7016960206944713,0.5416666666666667,2.261052384440103,18.876724754610446,2.0,19.261026554207174,0.2076732508904767,0.5111438287772658,0.41401927187782417,0.27223017065200206
homogeneous_scalar_transport_same_lambda,-0.2,96,27,1.7671458676442586,0.5625,2.3901806440322564,19.840551205592163,2.0,20.20653059291168,0.19795580352636954,0.5100942830012454,0.4173776682980892,0.26057468341091317
homogeneous_scalar_transport_same_lambda,-0.2,96,28,1.832595714594046,0.5833333333333333,2.5176380902050415,20.79190653543178,2.0,21.141423410893644,0.18920201928971825,0.5091970232794227,0.4204500092411868,0.24999381808640647
homogeneous_scalar_transport_same_lambda,-0.2,96,29,1.8980455615438334,0.6041666666666667,2.642878930606323,21.726716894552197,2.0,22.061428636345628,0.18131192072530172,0.5084268501670121,0.4232582362268977,0.24038995293752607
homogeneous_scalar_transport_same_lambda,-0.2,96,30,1.9634954084936205,0.6249999999999999,2.7653668647301792,22.64097928148096,2.0,22.962368111434,0.17419806095731996,0.5077633794155073,0.4258225393357843,0.23167577936828715
homogeneous_scalar_transport_same_lambda,-0.2,96,31,2.028945255443408,0.6458333333333333,2.884577380438002,23.530778684317124,2.0,23.840175166111177,0.16778400209433034,0.5071900366597436,0.4281613715407033,0.2237734523645732
homogeneous_scalar_transport_same_lambda,-0.2,96,32,2.0943951023931953,0.6666666666666666,2.9999999999999996,24.39230484541326,2.0,24.690908086421654,0.16200295209878215,0.5066932797379023,0.43029150579773645,0.2166137339514463
homogeneous_scalar_transport_same_lambda,-0.2,96,33,2.159844949342983,0.6875000000000001,3.1111404660392044,25.22186857748365,2.0,25.51076363028767,0.15679656077605603,0.5062619939796509,0.43222811767746505,0.21013516819117026
homogeneous_scalar_transport_same_lambda,-0.2,96,34,2.2252947962927703,0.7083333333333334,3.2175228580174413,26.015917561270626,2.0,26.29609045115605,0.15211386679057262,0.5058870195923972,0.43398488154026216,0.2042833096065456
homogeneous_scalar_transport_same_lambda,-0.2,96,35,2.2907446432425576,0.7291666666666667,3.3186916302001377,26.771051557120995,2.0,27.043402299536602,0.14791038330515616,0.5055607804662886,0.43557407204590287,0.19901001604854734
homogeneous_scalar_transport_same_lambda,-0.2,96,36,2.356194490192345,0.75,3.414213562373095,27.484036965334244,2.0,27.749390882907868,0.144147308201413,0.5052769912689898,0.43700666550183515,0.1942728100971743
homogeneous_scalar_transport_same_lambda,-0.2,96,37,2.421644337142132,0.7708333333333333,3.5036796149579548,28.151820672932896,2.0,28.410938274923673,0.14079084475469497,0.5050304253159814,0.4382924374778931,0.19003430880888483
homogeneous_scalar_transport_same_lambda,-0.2,96,38,2.4870941840919194,0.7916666666666666,3.58670668058247,28.77154312756099,2.0,29.025128774936604,0.1378116194080085,0.5048167298949171,0.4394400544618667,0.18626171911834552
homogeneous_scalar_transport_same_lambda,-0.2,96,39,2.5525440310417067,0.8124999999999999,3.66293922460509,29.340550582526284,2.0,29.58926012840359,0.1351841844859204,0.5046322788681568,0.44045715825967924,0.1829263948611063
